"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMjk1NjQ1MDY2ODg1MjA0","100003834322824","https://scontent.fhyd11-2.fna.fbcdn.net/v/t39.30808-1/412949402_2726479060823211_4724068826070181160_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=BAulqnYWX-8Ab5ntjbP&_nc_ht=scontent.fhyd11-2.fna&oh=00_AfAe_t0BS5fAi7cO0LyCayuYQUve3bZt-sdZ_3T3y5ddvg&oe=66197E75","Георги Желев","Все по грозни ги правят, евала 😂😂😂","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=295645066885204","0","0","0","03/24/2024 05:34:34 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfNzQ4MDc5MjkxNTI3NzQ4OA==","100003157928920","https://scontent.fhyd11-2.fna.fbcdn.net/v/t39.30808-1/428607235_7116400278475166_7063119573775898470_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=MoRhx_Bb7YEAb5IY3jX&_nc_ht=scontent.fhyd11-2.fna&oh=00_AfCw3PnBBYnJfN8px-PovrUU24sTkj6jAJxi0cuKZn7BPQ&oe=661980EE","Manas Bhattarai","The most hideous design ever created by BMW....R.I.P to designer","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=7480792915277488","29","0","1","03/24/2024 05:34:53 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfNDMwNjE0ODI2MTgyNjE3","61555950943153","https://scontent.fhyd11-2.fna.fbcdn.net/v/t1.30497-1/143086968_2856368904622192_1959732218791162458_n.png?stp=cp0_dst-png_p32x32&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=RKGYlzhnRFYAb5svalg&_nc_ht=scontent.fhyd11-2.fna&oh=00_AfAJ2VGmTxil1ry-rr-tQrh_k5nbwC9CL_yPfbD3rQ0mqQ&oe=663B21F8","Ovie Kovie","Happiness 😊","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=430614826182617","0","0","0","03/24/2024 05:35:32 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMzU2NzczMTAwMDA3NTI2","100000730219515","https://scontent.fhyd11-1.fna.fbcdn.net/v/t1.18169-1/29695084_1893160127384976_6887197835658107329_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=DKzGLzT2iL4Ab69ncfs&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfA5DA5JYQMuu6q1xfE_A-Y4e4TEDK3jO4eZnF9THF8e6A&oe=663AFF46","Mercedes Garcia Magro","No me gustan los modelos berlina","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=356773100007526","0","0","0","03/24/2024 05:36:17 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfNzA3NDM3MTI0OTMwNTg2","100091461422170","https://scontent.fhyd11-3.fna.fbcdn.net/v/t39.30808-1/430022779_318938347831544_1938951893653327205_n.jpg?stp=c0.0.32.32a_cp0_dst-jpg_p32x32&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=hm4-Pl_U58UAb7tgshy&_nc_ht=scontent.fhyd11-3.fna&oh=00_AfA9k8VPW1lDj_UjZ9bezNw8tXmrC2mCwPnpVzIjDnzaXQ&oe=66197A30","Adubi Taiwo","BMW to the world","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=707437124930586","1","0","0","03/24/2024 05:37:01 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTA4Mzk2ODMzMjgyMjU0NA==","100021069334361","https://scontent.fhyd11-2.fna.fbcdn.net/v/t1.30497-1/143086968_2856368904622192_1959732218791162458_n.png?stp=cp0_dst-png_p32x32&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=RKGYlzhnRFYAb5svalg&_nc_ht=scontent.fhyd11-2.fna&oh=00_AfAJ2VGmTxil1ry-rr-tQrh_k5nbwC9CL_yPfbD3rQ0mqQ&oe=663B21F8","Roy Henning Allum","The more i se it , the more i like it . True sign of love for me. Well done bmw. ❤️❤️😍🔥⚡️🙌","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1083968332822544","24","0","0","03/24/2024 05:37:01 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfODEwOTQ2NjExMDc2ODIx","100013092516266","https://scontent.fhyd11-2.fna.fbcdn.net/v/t39.30808-1/402933576_1852641761848890_7873019427970064280_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=IjxPHmTY-CAAb4T4_ze&_nc_ht=scontent.fhyd11-2.fna&oh=00_AfDsFdcMTBQYKvPL25mLA_SmkHK4fS7LgCsL8mZMg4dMMA&oe=66196B41","Omar Erad","First time in my life I'm asking for a bigger kidney grill . What are you doing bmw 😢","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=810946611076821","20","0","7","03/24/2024 05:37:41 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfNjUwMDg4NTgzODk2MDgx","100054409742282","https://scontent.fhyd11-3.fna.fbcdn.net/v/t39.30808-1/408555565_902243908265926_9060057582330148015_n.jpg?stp=c2.0.32.32a_cp0_dst-jpg_p32x32&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Q5J4EiFyxDYAb5Esy9y&_nc_ht=scontent.fhyd11-3.fna&oh=00_AfDBO6jUHcGLeEFaGuOMFog8_72tGCDY9tdWFLVS0W4DQw&oe=66197DFA","Rahul Negi Ji","I don't like 😪","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=650088583896081","0","0","0","03/24/2024 05:37:50 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTc2ODY4NjQ1Njk4NDcwNA==","100005838302321","https://scontent.fhyd11-2.fna.fbcdn.net/v/t1.6435-1/92677009_1264420000429265_7118584830543003648_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=vkPf3PrupsUAb5JdHEB&_nc_ht=scontent.fhyd11-2.fna&oh=00_AfD9HgiEtkHZXoC85YV8urm98x_qYJ6Ies3zqQmnI8OBDw&oe=663B0A1D","Hùng Trương","Xấu ỉa","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1768686456984704","0","0","0","03/24/2024 05:38:03 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMzg1MTg0NjA3NzI5MDkx","100011665076134","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/323159348_1325405721629484_7013716636501781494_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=30SVVLia3yAAb7l5Dx4&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfDGUkqAuNUxH8AElMVi5qalALi1sAAWjj4I2G-tED9W2A&oe=66198DF6","Mohamed Megahed","I dont like it BMW please stop that and change your designer of this thing 💔","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=385184607729091","0","0","0","03/24/2024 05:41:31 PM"
